filename,source_url,spec_id,doc_type,working_group,version,sha256,acquired_at,license_note,requested_slot,file_format,release,publisher_reference,page_count,acquired_at_note,zip_modified_at_local,source_match_note,selection_note,validation_notes,validated_at,has_text_layer
O-RAN WG2 A1AP Interface.pdf,https://www.etsi.org/deliver/etsi_ts/103900_103999/103987/04.03.00_60/ts_103987v040300p.pdf,O-RAN.WG2.A1AP,oran,WG2,04.03,fd9206ea3d0f02474849ad224a1b0ae7439ef98523779bb084948a8eb64e9ab5,2026-09-07T05:02:37Z,Copyright ETSI 2025; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,1,pdf,R004,ETSI TS 103 987 V4.3.0,60,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:23:10,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
O-RAN WG3 E2AP — E2 interface.pdf,https://www.etsi.org/deliver/etsi_ts/104000_104099/104039/04.00.00_60/ts_104039v040000p.pdf,O-RAN.WG3.E2AP,oran,WG3,04.00,03a20214920bba7dba5d2237e976e7501d81c895afcdf3081b3a1b0067ba2a55,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,2,pdf,R003,ETSI TS 104 039 V4.0.0,109,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:23:48,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
O-RAN.WG3.TS.E2SM-KPM-R005-v08.00.docx,https://specifications.o-ran.org/download?id=1100,O-RAN.WG3.TS.E2SM-KPM,oran,WG3,08.00,174c856f804c7af10310be03ecd9879e0c27998c26dea5282624df6fae6dc8b7,2026-09-07T05:02:37Z,Copyright 2026 O-RAN ALLIANCE e.V. Cover permits printing/downloading extracts for personal use and sending material to individual third parties for information with source acknowledgment and notice of the same conditions. Other copying/incorporation requires prior written permission. No open-content license asserted.,3,docx,R005,,,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:24:46,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,"FORMAT EXCEPTION: supplied file is DOCX, not PDF. Specification ID/version verified from document text. SHA-256 is for the original DOCX bytes. PDF counterpart is missing; a converted PDF would need its own hash.",2026-09-07T05:02:37Z,true
O-RAN WG1 OAD — Architecture description.pdf,https://www.etsi.org/deliver/etsi_ts/103900_103999/103982/14.00.00_60/ts_103982v140000p.pdf,O-RAN.WG1.TS.OAD,oran,WG1,14.00,6399390ac5fc2595b1d37e43770ccc3eb5dce72af69c708ce6a25d1873072f5d,2026-09-07T05:02:37Z,Copyright ETSI 2026; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,4,pdf,R004,ETSI TS 103 982 V14.0.0,38,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:25:02,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
3GPP TS 38.300 — NR overall description.pdf,https://www.etsi.org/deliver/etsi_ts/138300_138399/138300/18.01.00_60/ts_138300v180100p.pdf,3GPP TS 38.300,3gpp,RAN2,18.1.0,058188999eb469ae95097a3b29b3abd24e65470a10f60d9d8965f7610c0de8f1,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,5,pdf,Release 18,ETSI TS 138 300 V18.1.0,267,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:25:16,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
3GPP TS 38.331 — RRC protocol.pdf,https://www.etsi.org/deliver/etsi_ts/138300_138399/138331/18.01.00_60/ts_138331v180100p.pdf,3GPP TS 38.331,3gpp,RAN2,18.1.0,939befcf81d76ee493a45d8c9a47d32b0863bb0941a7b3ecf63f5907cf61ea3e,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,6,pdf,Release 18,ETSI TS 138 331 V18.1.0,1624,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:26:16,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
3GPP TS 28.552 — 5G performance measurements.pdf,https://www.etsi.org/deliver/etsi_ts/128500_128599/128552/18.07.00_60/ts_128552v180700p.pdf,3GPP TS 28.552,3gpp,SA5,18.7.0,9785644b0c5a3060ced870ba3470ea3f02212262d518b2b919b1c40ec0e9b5b6,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,7,pdf,Release 18,ETSI TS 128 552 V18.7.0,376,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:26:34,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
3GPP TS 38.413 — NGAP.pdf,https://www.etsi.org/deliver/etsi_ts/138400_138499/138413/18.01.00_60/ts_138413v180100p.pdf,3GPP TS 38.413,3gpp,RAN3,18.1.0,83653aad40d34884b4e886887b8f6aa60b03bb13da42db3a6715ece218612d3a,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,8,pdf,Release 18,ETSI TS 138 413 V18.1.0,639,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:26:50,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
O-RAN WG3 E2GAP — E2 General Aspects and Principles; satisfies the additional WG3 overview slot.pdf,https://www.etsi.org/deliver/etsi_ts/104000_104099/104038/04.01.00_60/ts_104038v040100p.pdf,O-RAN.WG3.E2GAP,oran,WG3,04.01,722c80f9dffb5dbd1b2239883f4c608089ea25832070b2e3290ed8a6eb53eb38,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,9,pdf,R003,ETSI TS 104 038 V4.1.0,38,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:27:14,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,E2GAP selected for the explicitly allowed additional WG3/E2 overview slot.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
3GPP TS 32.425 — LTE performance measurements.pdf,https://www.etsi.org/deliver/etsi_ts/132400_132499/132425/18.00.00_60/ts_132425v180000p.pdf,3GPP TS 32.425,3gpp,SA5,18.0.0,b3e04ba07ffbcb1d6963abe2e90cd7876de6ab61dbd847f5cd2e8c7e085e0fd9,2026-09-07T05:02:37Z,Copyright ETSI 2024; all rights reserved. Copyright notice requires written permission for reproduction/use; PDF content must not be modified without written authorization. See document copyright notice.,10,pdf,Release 18,ETSI TS 132 425 V18.0.0,117,Unknown original download time. ZIP modification timestamp is preserved separately but is not verified as download time and has no timezone.,2026-09-07T10:27:34,Source URL reused from earlier agreed list; uploaded title and version match that entry. Original download provenance/remote byte identity not independently verified.,No substitution; matches requested document.,PDF opens; text extracted from every page; no empty-text pages. This does not certify full visual quality or completeness.,2026-09-07T05:02:37Z,true
